age,Country of Birth,Current Country of Residence,First Language,Nationality,Sex,Were you raised monolingual?
24,Germany,Germany,German,Germany,Female,I was raised with my native language only
31,Germany,Germany,German,Germany,Male,I was raised with my native language only
32,Austria,Austria,German,Austria,Female,I was raised with my native language only
45,Germany,Germany,German,Germany,Female,I was raised with my native language only
24,Germany,Germany,German,Germany,Female,I was raised with my native language only
30,Germany,United Kingdom,German,Germany,Male,I was raised with my native language only
22,Germany,Germany,German,Germany,Male,I was raised with my native language only
26,Germany,Germany,German,Germany,Female,I was raised with my native language only
22,Austria,Austria,German,Austria,Female,I was raised with my native language only
30,Germany,Germany,German,Germany,Male,I was raised with my native language only
25,Austria,Austria,German,Austria,Female,I was raised with my native language only
23,Germany,Germany,German,Germany,Male,I was raised with my native language only
31,Germany,United Kingdom,German,Germany,Female,I was raised with my native language only
21,Germany,Germany,German,Germany,Female,I was raised with my native language only
37,Germany,Germany,German,Germany,Female,I was raised with my native language only
27,Germany,Germany,German,Germany,Male,I was raised with my native language only
,Austria,Austria,German,Austria,Male,I was raised with my native language only
21,Germany,Germany,German,Germany,Male,I was raised with my native language only
22,Germany,Germany,German,Germany,Female,I was raised with my native language only
28,Germany,Germany,German,Germany,Male,I was raised with my native language only
21,Germany,Germany,German,Germany,Female,I was raised with my native language only
24,Austria,United Kingdom,German,Austria,Male,I was raised with my native language only
43,Austria,Austria,German,Austria,Female,I was raised with my native language only
21,Germany,United Kingdom,German,Germany,Female,I was raised with my native language only
29,Germany,United Kingdom,German,Germany,Female,I was raised with my native language only
22,Germany,Germany,German,Germany,Male,I was raised with my native language only
23,Germany,Germany,German,Germany,Male,I was raised with my native language only
25,Austria,Austria,German,Austria,Male,I was raised with my native language only
56,Germany,Germany,German,Germany,Female,I was raised with my native language only
30,Germany,Germany,German,Germany,Female,I was raised with my native language only
28,Germany,Germany,German,Germany,Female,I was raised with my native language only
,Germany,Germany,German,Germany,Male,I was raised with my native language only
22,Austria,Austria,German,Austria,Male,I was raised with my native language only
31,Austria,Germany,German,Germany,Female,I was raised with my native language only
30,Germany,Germany,German,Germany,Male,I was raised with my native language only
26,Germany,Germany,German,Germany,Male,I was raised with my native language only
36,Germany,United Kingdom,German,Germany,Female,I was raised with my native language only
26,Germany,Germany,German,Germany,Male,I was raised with my native language only
24,Germany,Germany,German,Germany,Female,I was raised with my native language only
19,Germany,Germany,German,Germany,Male,I was raised with my native language only
24,Germany,Germany,German,Germany,Male,I was raised with my native language only
23,Germany,Germany,German,Germany,Female,I was raised with my native language only
30,Austria,Austria,German,Austria,Female,I was raised with my native language only
22,Germany,Germany,German,Germany,Female,I was raised with my native language only
28,Germany,Germany,German,Germany,Male,I was raised with my native language only
32,Germany,Germany,German,Germany,Male,I was raised with my native language only
48,Germany,Germany,German,Germany,Female,I was raised with my native language only
24,Germany,Germany,German,Germany,Male,I was raised with my native language only
21,Germany,Germany,German,Germany,Female,I was raised with my native language only
56,Germany,United Kingdom,German,Germany,Female,I was raised with my native language only