,class,firstutterance,noun,nounclass,predicate,response,slide_number,language,age,gender,Browser,OS,screenH,screenW,time_in_minutes,participant_id,assess
12,age,negative,desk,furniture,new,0.09,15,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
13,nationality,negative,couch,furniture,Spanish,0.65,16,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
14,color,negative,chair,furniture,green,0.59,17,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
15,nationality,positive,desk,furniture,American,0.51,18,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
16,color,positive,banana,food,blue,0.6,19,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
17,size,positive,desk,furniture,small,0.38,20,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
18,shape,negative,apple,food,square,1.0,21,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
19,color,negative,fan,furniture,purple,0.52,22,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
20,size,negative,apple,food,long,0.54,23,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
21,quality,positive,banana,food,bad,0.0,24,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
22,age,positive,carrot,food,rotten,0.44,25,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
23,color,positive,carrot,food,yellow,0.55,26,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
24,texture,positive,cheese,food,smooth,0.91,27,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
25,shape,negative,fan,furniture,round,1.0,28,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
26,pattern,positive,banana,food,checkered,0.88,29,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
27,pattern,negative,tomato,food,dotted,1.0,30,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
28,pattern,positive,banana,food,striped,1.0,31,עברית,25,Male,Chrome,Windows,864,1536,2.7133833333333333,16,Yes
0,color,negative,tomato,food,purple,0.59,3,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
1,texture,positive,banana,food,soft,0.09,4,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
2,age,positive,desk,furniture,rotten,1.0,5,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
3,nationality,positive,desk,furniture,French,0.58,6,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
4,quality,positive,carrot,food,bad,0.0,7,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
5,size,negative,apple,food,tiny,0.37,8,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
6,age,negative,fan,furniture,old,0.09,9,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
7,texture,positive,tomato,food,hard,0.24,10,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
8,size,positive,TV,furniture,long,0.24,11,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
9,age,positive,banana,food,fresh,0.4,12,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
10,color,negative,couch,furniture,brown,0.43,13,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
11,color,positive,banana,food,blue,0.54,14,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
12,quality,positive,tomato,food,good,0.0,15,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
13,nationality,negative,apple,food,Spanish,0.59,16,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
14,color,negative,TV,furniture,green,0.43,17,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
15,size,positive,tomato,food,big,0.3,18,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
16,color,negative,banana,food,red,0.49,19,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
17,shape,positive,banana,food,round,1.0,20,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
18,age,negative,couch,furniture,new,0.15,21,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
19,size,positive,cheese,food,small,0.27,22,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
20,color,positive,carrot,food,yellow,0.47,23,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
21,texture,positive,carrot,food,smooth,0.95,24,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
22,shape,negative,cheese,food,square,1.0,25,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
23,nationality,negative,apple,food,American,0.63,26,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
24,size,positive,carrot,food,huge,0.36,27,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
25,size,positive,cheese,food,short,0.29,28,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
26,pattern,negative,tomato,food,checkered,1.0,29,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
27,pattern,negative,tomato,food,striped,1.0,30,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
28,pattern,negative,TV,furniture,dotted,1.0,31,עברית,25,Female,Chrome,Windows,864,1536,1.9553,17,Yes
0,color,positive,couch,furniture,purple,0.94,3,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
1,shape,positive,tomato,food,round,0.92,4,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
2,age,positive,TV,furniture,rotten,0.61,5,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
3,color,negative,cheese,food,yellow,1.0,6,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
4,size,positive,apple,food,long,0.56,7,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
5,color,negative,apple,food,brown,1.0,8,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
6,color,negative,banana,food,blue,1.0,9,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
7,shape,positive,carrot,food,square,0.74,10,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
8,nationality,positive,desk,furniture,Spanish,0.83,11,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
9,color,negative,carrot,food,green,1.0,12,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
10,texture,negative,cheese,food,smooth,0.69,13,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
11,texture,positive,carrot,food,hard,0.61,14,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
12,size,negative,apple,food,tiny,0.67,15,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
13,quality,negative,carrot,food,bad,0.23,16,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
14,nationality,positive,desk,furniture,American,0.99,17,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
15,texture,negative,cheese,food,soft,0.47,18,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
16,size,negative,banana,food,short,0.5,19,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
17,nationality,negative,couch,furniture,French,0.86,20,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
18,quality,positive,apple,food,good,0.29,21,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
19,color,negative,couch,furniture,red,1.0,22,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
20,size,negative,apple,food,small,0.48,23,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
21,size,negative,apple,food,huge,0.43,24,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
22,age,positive,fan,furniture,old,0.39,25,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
23,size,positive,apple,food,big,0.64,26,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
24,age,negative,fan,furniture,new,0.59,27,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
25,age,positive,couch,furniture,fresh,0.67,28,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
26,pattern,negative,cheese,food,checkered,0.99,29,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
27,pattern,positive,desk,furniture,striped,0.65,30,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
28,pattern,negative,TV,furniture,dotted,1.0,31,עברית,25,Female,Chrome,Windows,768,1366,2.5320833333333335,18,Yes
0,texture,positive,carrot,food,smooth,0.39,3,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
1,color,negative,tomato,food,red,0.23,4,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
2,color,positive,couch,furniture,green,0.69,5,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
3,size,positive,carrot,food,big,0.38,6,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
4,nationality,positive,cheese,food,American,1.0,7,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
5,quality,negative,tomato,food,good,0.1,8,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
6,color,negative,chair,furniture,yellow,0.67,9,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
7,shape,negative,chair,furniture,round,1.0,10,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
8,size,positive,fan,furniture,long,0.77,11,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
9,size,negative,couch,furniture,huge,0.0,12,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
10,age,positive,chair,furniture,old,0.34,13,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
11,nationality,negative,couch,furniture,Spanish,1.0,14,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
12,age,positive,banana,food,fresh,1.0,15,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
13,shape,positive,chair,furniture,square,1.0,16,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
14,texture,positive,chair,furniture,hard,0.3,17,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
15,age,negative,apple,food,new,0.64,18,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
16,texture,negative,banana,food,soft,0.8,19,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
17,size,positive,fan,furniture,small,1.0,20,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
18,age,positive,banana,food,rotten,0.23,21,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
19,color,positive,cheese,food,blue,1.0,22,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
20,color,negative,cheese,food,purple,1.0,23,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
21,quality,positive,couch,furniture,bad,0.0,24,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
22,size,positive,TV,furniture,tiny,0.23,25,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
23,nationality,negative,apple,food,French,1.0,26,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
24,size,negative,fan,furniture,short,0.64,27,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
25,color,positive,cheese,food,brown,1.0,28,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
26,pattern,negative,couch,furniture,dotted,1.0,29,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
27,pattern,negative,tomato,food,striped,1.0,30,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
28,pattern,positive,TV,furniture,checkered,0.82,31,עברית,29,Female,Chrome,Windows,1080,1920,2.902416666666667,19,Yes
0,color,negative,fan,furniture,purple,0.01,3,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
1,color,negative,cheese,food,yellow,0.98,4,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
2,quality,negative,chair,furniture,bad,0.03,5,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
3,quality,positive,chair,furniture,good,0.02,6,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
4,nationality,positive,apple,food,American,0.98,7,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
5,color,positive,carrot,food,blue,0.97,8,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
6,age,positive,tomato,food,old,0.27,9,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
7,size,positive,fan,furniture,long,0.01,10,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
8,size,negative,couch,furniture,huge,0.04,11,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
9,color,positive,carrot,food,red,0.98,12,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
10,shape,negative,desk,furniture,round,0.92,13,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
11,texture,negative,chair,furniture,hard,0.02,14,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
12,color,negative,carrot,food,brown,0.99,15,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
13,texture,positive,chair,furniture,smooth,0.48,16,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
14,nationality,negative,apple,food,Spanish,0.99,17,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
15,size,negative,tomato,food,small,0.02,18,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
16,size,negative,chair,furniture,short,0.05,19,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
17,size,positive,desk,furniture,big,0.02,20,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
18,color,positive,cheese,food,green,0.52,21,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
19,age,positive,apple,food,new,0.51,22,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
20,age,positive,banana,food,fresh,0.5,23,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
21,texture,negative,TV,furniture,soft,0.95,24,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
22,nationality,negative,apple,food,French,0.96,25,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
23,size,negative,desk,furniture,tiny,0.0,26,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
24,age,positive,cheese,food,rotten,0.48,27,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
25,shape,positive,carrot,food,square,0.5,28,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
26,pattern,positive,apple,food,checkered,0.94,29,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
27,pattern,negative,desk,furniture,dotted,0.98,30,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
28,pattern,positive,tomato,food,striped,0.94,31,עברית,22,Female,Chrome,Windows,864,1536,3.3292333333333333,20,Yes
0,color,negative,TV,furniture,red,0.9,3,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
1,color,positive,apple,food,blue,0.98,4,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
2,color,positive,cheese,food,brown,1.0,5,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
3,size,positive,fan,furniture,tiny,0.12,6,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
4,color,positive,apple,food,purple,1.0,7,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
5,shape,negative,carrot,food,square,1.0,8,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
6,age,positive,TV,furniture,fresh,1.0,9,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
7,age,positive,couch,furniture,old,0.14,10,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
8,quality,positive,tomato,food,good,0.0,11,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
9,nationality,negative,chair,furniture,American,1.0,12,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
10,texture,positive,carrot,food,hard,0.06,13,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
11,color,positive,fan,furniture,yellow,1.0,14,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
12,age,negative,couch,furniture,rotten,1.0,15,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
13,size,positive,carrot,food,short,0.1,16,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
14,size,positive,fan,furniture,big,0.0,17,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
15,shape,positive,cheese,food,round,1.0,18,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
16,size,negative,fan,furniture,huge,0.0,19,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
17,nationality,positive,TV,furniture,Spanish,1.0,20,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
18,age,positive,cheese,food,new,0.0,21,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
19,texture,positive,carrot,food,smooth,0.0,22,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
20,texture,negative,desk,furniture,soft,1.0,23,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
21,quality,positive,cheese,food,bad,0.0,24,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
22,color,negative,fan,furniture,green,1.0,25,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
23,size,positive,couch,furniture,small,0.0,26,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
24,size,positive,apple,food,long,1.0,27,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
25,nationality,negative,TV,furniture,French,1.0,28,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
26,pattern,positive,tomato,food,dotted,0.43,29,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
27,pattern,positive,apple,food,striped,0.52,30,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
28,pattern,negative,apple,food,checkered,1.0,31,עברית,29,Female,Chrome,Windows,1080,1920,1.8938333333333333,21,Yes
0,age,positive,apple,food,new,0.04,3,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
1,quality,negative,desk,furniture,good,0.0,4,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
2,size,negative,couch,furniture,tiny,0.02,5,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
3,age,negative,banana,food,old,0.06,6,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
4,age,positive,tomato,food,rotten,0.23,7,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
5,color,positive,banana,food,brown,0.82,8,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
6,nationality,positive,couch,furniture,Spanish,0.95,9,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
7,texture,negative,chair,furniture,smooth,0.27,10,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
8,texture,positive,cheese,food,soft,0.35,11,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
9,shape,negative,desk,furniture,round,1.0,12,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
10,color,positive,TV,furniture,yellow,1.0,13,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
11,size,negative,TV,furniture,small,0.0,14,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
12,color,negative,chair,furniture,green,1.0,15,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
13,age,positive,chair,furniture,fresh,0.11,16,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
14,quality,negative,fan,furniture,bad,0.0,17,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
15,nationality,negative,couch,furniture,French,1.0,18,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
16,nationality,negative,banana,food,American,1.0,19,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
17,color,negative,fan,furniture,purple,1.0,20,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
18,texture,positive,desk,furniture,hard,0.0,21,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
19,size,positive,carrot,food,long,0.0,22,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
20,color,negative,couch,furniture,blue,1.0,23,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
21,color,positive,carrot,food,red,1.0,24,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
22,size,positive,carrot,food,huge,0.0,25,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
23,size,positive,desk,furniture,short,0.0,26,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
24,size,negative,apple,food,big,0.0,27,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
25,shape,positive,TV,furniture,square,1.0,28,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
26,pattern,positive,TV,furniture,striped,0.36,29,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
27,pattern,positive,cheese,food,dotted,1.0,30,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
28,pattern,negative,TV,furniture,checkered,0.18,31,עברית,30,Female,Firefox,Windows,1080,1920,1.9901,22,Yes
0,color,positive,chair,furniture,blue,0.86,3,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
1,color,negative,chair,furniture,purple,0.92,4,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
2,color,positive,cheese,food,red,0.9,5,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
3,color,positive,banana,food,brown,0.89,6,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
4,texture,positive,chair,furniture,soft,0.26,7,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
5,size,positive,carrot,food,small,0.15,8,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
6,size,negative,chair,furniture,long,0.12,9,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
7,size,positive,carrot,food,huge,0.09,10,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
8,quality,negative,cheese,food,bad,0.0,11,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
9,size,positive,fan,furniture,big,0.11,12,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
10,nationality,positive,chair,furniture,Spanish,0.35,13,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
11,age,negative,couch,furniture,fresh,0.48,14,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
12,color,positive,apple,food,green,0.91,15,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
13,age,negative,fan,furniture,new,0.18,16,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
14,nationality,negative,fan,furniture,French,0.35,17,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
15,texture,positive,apple,food,hard,0.07,18,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
16,age,negative,cheese,food,old,0.21,19,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
17,nationality,positive,tomato,food,American,0.4,20,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
18,texture,negative,chair,furniture,smooth,0.26,21,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
19,color,positive,tomato,food,yellow,0.93,22,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
20,shape,positive,apple,food,square,0.83,23,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
21,size,negative,tomato,food,short,0.1,24,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
22,age,positive,chair,furniture,rotten,0.11,25,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
23,shape,negative,fan,furniture,round,0.51,26,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
24,quality,negative,carrot,food,good,0.04,27,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
25,size,negative,TV,furniture,tiny,0.28,28,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
26,pattern,positive,cheese,food,checkered,0.53,29,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
27,pattern,positive,apple,food,striped,0.18,30,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
28,pattern,negative,chair,furniture,dotted,0.8,31,עברית,25,Male,Firefox,Windows,720,1280,2.6834166666666666,23,Yes
